"","ONDERWIJSSOORT","BRIN","VESTNR","VEST_NAAM","VEST_ADRES","VEST_PC","VEST_PLAATS","VEST_PROVININCIE","VEST_GEMNR","VEST_GEMEENTE","TELLING_VOTOTAAL_2016","TELLING_VOTOTAAL_2017","TELLING_VOTOTAAL_2018","TELLING_VOTOTAAL_2019","TELLING_VOTOTAAL_2020","TELLING_VOTOTAAL_2021","PROGNOSES_VOTOTAAL_2022","PROGNOSES_VOTOTAAL_2023","PROGNOSES_VOTOTAAL_2024","PROGNOSES_VOTOTAAL_2025","PROGNOSES_VOTOTAAL_2026","PROGNOSES_VOTOTAAL_2027","PROGNOSES_VOTOTAAL_2028","PROGNOSES_VOTOTAAL_2029","PROGNOSES_VOTOTAAL_2030","PROGNOSES_VOTOTAAL_2031","PROGNOSES_VOTOTAAL_2032","PROGNOSES_VOTOTAAL_2033","PROGNOSES_VOTOTAAL_2034","PROGNOSES_VOTOTAAL_2035","PROGNOSES_VOTOTAAL_2036","PROGNOSES_VOTOTAAL_2037","PROGNOSES_VOTOTAAL_2038","PROGNOSES_VOTOTAAL_2039","PROGNOSES_VOTOTAAL_2040","PROGNOSES_VOTOTAAL_2041","BRJ_2016","BRJ_2017","BRJ_2018","BRJ_2019","BRJ_2020","BRJ_2021","BRJ_2022","BRJ_2023","BRJ_2024","BRJ_2025","BRJ_2026","BRJ_2027","BRJ_2028","BRJ_2029","BRJ_2030","BRJ_2031","BRJ_2032","BRJ_2033","BRJ_2034","BRJ_2035","BRJ_2036","BRJ_2037","BRJ_2038","BRJ_2039","BRJ_2040","BRJ_2041","VMBO_2016","VMBO_2017","VMBO_2018","VMBO_2019","VMBO_2020","VMBO_2021","VMBO_2022","VMBO_2023","VMBO_2024","VMBO_2025","VMBO_2026","VMBO_2027","VMBO_2028","VMBO_2029","VMBO_2030","VMBO_2031","VMBO_2032","VMBO_2033","VMBO_2034","VMBO_2035","VMBO_2036","VMBO_2037","VMBO_2038","VMBO_2039","VMBO_2040","VMBO_2041","HAVO_2016","HAVO_2017","HAVO_2018","HAVO_2019","HAVO_2020","HAVO_2021","HAVO_2022","HAVO_2023","HAVO_2024","HAVO_2025","HAVO_2026","HAVO_2027","HAVO_2028","HAVO_2029","HAVO_2030","HAVO_2031","HAVO_2032","HAVO_2033","HAVO_2034","HAVO_2035","HAVO_2036","HAVO_2037","HAVO_2038","HAVO_2039","HAVO_2040","HAVO_2041","VWO_2016","VWO_2017","VWO_2018","VWO_2019","VWO_2020","VWO_2021","VWO_2022","VWO_2023","VWO_2024","VWO_2025","VWO_2026","VWO_2027","VWO_2028","VWO_2029","VWO_2030","VWO_2031","VWO_2032","VWO_2033","VWO_2034","VWO_2035","VWO_2036","VWO_2037","VWO_2038","VWO_2039","VWO_2040","VWO_2041","PRO_2016","PRO_2017","PRO_2018","PRO_2019","PRO_2020","PRO_2021","PRO_2022","PRO_2023","PRO_2024","PRO_2025","PRO_2026","PRO_2027","PRO_2028","PRO_2029","PRO_2030","PRO_2031","PRO_2032","PRO_2033","PRO_2034","PRO_2035","PRO_2036","PRO_2037","PRO_2038","PRO_2039","PRO_2040","PRO_2041","BRIN_NAAM","BRIN_ADRES","BRIN_PC","BRIN_PLAATS","BRIN_PROVINCIE","BRIN_GEMNR","BRIN_GEMEENTE","BGNUMMER","BG_NAAM","BG_ADRES","BG_PC","BG_PLAATS","BG_PROVINCIE","BG_GEMNR","BG_GEMEENTE"
"1","VO","00AH","00","Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo","Lyceumlaan 30 ","7522GK","ENSCHEDE","Overijssel","0153","ENSCHEDE",975,1009,1066,1079,1096,1134,1106.88961944647,1073.16142156954,1043.46895529747,1029.65242486175,1024.9485837754,1008.51153388644,990.69448607188,969.056100243627,954.365480114747,935.548567867807,915.06921098832,901.895858597198,899.957893848035,896.361813468425,901.960723135844,907.128745840317,914.982805221139,923.550179015654,927.092572000598,931.513865736599,360,371,411,411,372,376,385.703653356906,382.871368210057,371.103118640222,361.078715278214,358.265257791678,356.54639879326,346.256628850941,334.623182647183,328.963533633859,322.320494217882,316.441367890883,317.260911690954,321.767849531709,322.05899531247,325.808455221798,329.558585249645,332.090452005915,334.693916227543,336.179095370294,336.95072828879,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,301,305,286,305,332,324.211759805981,303.163499954443,297.366484351669,301.590171296549,299.997743810938,293.139904554497,289.946840903918,286.661675601953,282.976880354172,275.881594599862,269.856834295315,263.011063969794,261.164045785543,258.889170265874,259.85743068928,261.294386868834,263.129711626822,266.463653023778,267.465392758143,269.219485709656,323,337,349,382,419,426,396.974206283584,387.126553405039,374.999352305575,366.983538286984,366.685582172786,358.825230538679,354.491016317021,347.771241994492,342.425066126715,337.346479050064,328.771008802122,321.623882936449,317.025998530783,315.413647890081,316.294837224766,316.275773721839,319.762641588402,322.392609764333,323.448083872161,325.343651738154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo","Lyceumlaan 30","7522GK","ENSCHEDE","Overijssel","0153","ENSCHEDE","41804","Stichting Het Stedelijk Lyceum Enschede","Tiemeister 20","7541WG","ENSCHEDE","Overijssel","0153","ENSCHEDE"
"2","VO","00AH","07","Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo","Tiemeister 20 ","7541WG","ENSCHEDE","Overijssel","0153","ENSCHEDE",1039,1013,961,868,830,824,805.683733754602,780.099436863463,764.212458270683,755.730354047082,749.245638546373,736.735174996854,723.055577700932,707.370978949699,695.46267549767,680.697473308239,666.269303054948,657.1272496386,657.287840423898,654.222986428178,660.037231468268,664.44367652593,669.93448658494,676.811931382619,679.388133094031,682.903426769818,412,402,384,275,296,308,316.17082573014,314.320395724803,304.884122737575,296.427880678125,293.700871951613,292.670982409203,284.458898467362,274.781649524942,270.033864670624,264.575038065854,259.832738623246,259.94905570781,263.926666809512,264.099163941356,267.129445366865,270.291747124943,272.269480170476,274.478774469465,275.75108824637,276.323963875664,216,218,210,213,163,133,120.461184089923,116.463001264473,119.310888248082,118.46997101834,115.158538255419,111.014756314821,109.653157540569,108.17263744898,105.101571256935,102.589651961097,100.110758414204,98.4926161300926,97.5099812065274,96.9230572991761,98.7872558283177,98.925068402583,100.09678658613,101.401571370026,101.622815611982,102.70329006713,266,223,177,225,262,270,261.269711459652,246.032300263182,242.457785426252,245.274338318926,243.48065580206,237.991580882734,235.880884586855,233.120487195986,229.673444543978,223.939381321324,219.019681435523,213.74662747071,212.036679338129,210.679619065938,211.568568218031,212.706378676844,214.347993867339,216.953968263255,217.803095244842,219.260806157713,145,170,190,155,109,113,107.782012474887,103.283739611005,97.5596618587743,95.5581640316916,96.905572537282,95.0578553900966,93.0626371061452,91.2962047797918,90.6537950261335,89.5934019599637,87.3061245819746,84.9389503299877,83.8145130697289,82.521146121708,82.5519620550541,82.5204823215597,83.2202259609947,83.9776172798737,84.2111339908376,84.6153666693102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo","Lyceumlaan 30","7522GK","ENSCHEDE","Overijssel","0153","ENSCHEDE","41804","Stichting Het Stedelijk Lyceum Enschede","Tiemeister 20","7541WG","ENSCHEDE","Overijssel","0153","ENSCHEDE"
"3","VO","00AH","08","Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo","Jan Vermeerstraat 49 ","7545BN","ENSCHEDE","Overijssel","0153","ENSCHEDE",276,312,345,355,341,308,298.50453218638,291.32583011999,290.606751031736,285.649265119771,280.380078845485,275.072825853091,269.301616669622,262.843614374286,257.006019010486,251.27751975397,245.98479052181,243.672444006016,245.010534005676,243.724288559226,247.646729762197,249.294278868413,251.515060612757,254.400062684859,255.139238886774,256.778984886062,187,196,189,178,181,151,155.172625199794,154.618149468296,150.144894582548,145.815311833641,144.161152020274,143.940217602526,140.076967521842,135.221654759977,132.810123279443,130.120971460744,127.851275305986,127.491462610042,129.656142023387,129.691145515403,131.145914079807,132.764147788463,133.6614679558,134.802178107977,135.467798693226,135.704189711471,79,116,156,177,160,157,143.331906986586,136.707680651694,140.461856449187,139.83395328613,136.218926825211,131.132608250565,129.22464914778,127.62195961431,124.195895731043,121.156548293226,118.133515215824,116.180981395974,115.354391982289,114.033143043823,116.50081568239,116.53013107995,117.853592656957,119.597884576882,119.671440193549,121.074795174591,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo","Lyceumlaan 30","7522GK","ENSCHEDE","Overijssel","0153","ENSCHEDE","41804","Stichting Het Stedelijk Lyceum Enschede","Tiemeister 20","7541WG","ENSCHEDE","Overijssel","0153","ENSCHEDE"
"4","VO","00AH","09","Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo","Hofstedeweg 185 ","7535CV","ENSCHEDE","Overijssel","0153","ENSCHEDE",176,238,269,284,274,291,280.429758522371,273.372521488442,272.242811816142,268.236353785401,264.369935680542,258.412915832094,252.855601699795,247.166344197896,241.806962622176,236.421956488641,231.218507922158,230.557981182476,230.704960424683,230.13486369153,233.711017282148,235.075229221737,237.502178994892,239.910722652601,240.554177447741,242.227095537629,112,143,169,166,119,137,140.165858069115,138.351933007013,133.724908783532,130.479934860627,130.158069801559,128.902219495954,124.79209480513,120.79927569209,118.92308137907,116.531230480347,114.266588795439,115.489304031442,116.655667249931,116.871631976606,118.306198359444,119.522106419072,120.604868054439,121.425814724234,121.874164137857,122.253897872133,58,85,100,106,144,136,124.311720025019,118.318785715198,121.623295146858,121.128168388497,118.03599973225,113.603962516646,111.910992694005,110.542069490787,107.600910795737,104.958182194106,102.326553360949,100.629515691223,99.958079160206,98.7295024176372,100.902827920024,100.910383437437,102.0488368802,103.587110150035,103.625732465341,104.858486216623,6,10,NA,12,11,18,15.952180428237,16.701802766231,16.8946078857511,16.6282505362765,16.1758661467339,15.9067338194938,16.1525142006596,15.8249990150193,15.2829704473682,14.9325438141885,14.6253657657691,14.4391614598112,14.0912140145463,14.5337292972859,14.5019910026795,14.6427393652285,14.848474060253,14.8977977783315,15.0542808445426,15.1147114488731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo","Lyceumlaan 30","7522GK","ENSCHEDE","Overijssel","0153","ENSCHEDE","41804","Stichting Het Stedelijk Lyceum Enschede","Tiemeister 20","7541WG","ENSCHEDE","Overijssel","0153","ENSCHEDE"
"5","VO","00AH","11","Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo","Mekkelholtspad 4 ","7523DC","ENSCHEDE","Overijssel","0153","ENSCHEDE",234,262,217,214,168,170,174.195135330418,172.508245925432,167.011270661573,162.69073358407,161.784131791335,160.679839036388,155.839996122592,150.708006571019,148.245758307767,145.25712774378,142.535348873216,143.386092763612,145.176561434231,145.365296191738,147.096077896583,148.713411233877,149.941409268063,151.052171797089,151.67544305583,152.075546268912,234,262,217,214,168,170,174.195135330418,172.508245925432,167.011270661573,162.69073358407,161.784131791335,160.679839036388,155.839996122592,150.708006571019,148.245758307767,145.25712774378,142.535348873216,143.386092763612,145.176561434231,145.365296191738,147.096077896583,148.713411233877,149.941409268063,151.052171797089,151.67544305583,152.075546268912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo","Lyceumlaan 30","7522GK","ENSCHEDE","Overijssel","0153","ENSCHEDE","41804","Stichting Het Stedelijk Lyceum Enschede","Tiemeister 20","7541WG","ENSCHEDE","Overijssel","0153","ENSCHEDE"
"6","VO","00AH","17","Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo","Wethouder Beversstraat 195 ","7543BK","ENSCHEDE","Overijssel","0153","ENSCHEDE",665,586,504,477,395,343,324.358202359773,317.351999046941,318.801587735625,314.036292553053,307.058305471017,299.769830426772,294.548162894376,288.316665276362,281.180519732825,274.838658862782,268.869423154225,265.847748483442,265.719013618855,264.844226835137,269.109444443391,270.586206088523,273.296203984845,276.365595696334,277.277769485168,279.298133614416,253,190,134,159,158,114,117.138608963622,116.695500453637,113.307716687871,110.051792741687,108.824989026063,108.638467233911,105.710533867379,102.05263928925,100.237838976363,98.2085149798291,96.4911313193185,96.2484359508055,97.8677911210139,97.8976601052531,98.9981053180838,100.215103300939,100.897570676437,101.754769732151,102.254384119968,102.435939934179,412,396,370,318,237,229,207.219593396152,200.656498593303,205.493871047755,203.984499811366,198.233316444954,191.13136319286,188.837629026997,186.264025987113,180.942680756462,176.630143882953,172.378291834906,169.599312532636,167.851222497841,166.946566729884,170.111339125307,170.371102787584,172.398633308408,174.610825964182,175.023385365201,176.862193680237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo","Lyceumlaan 30","7522GK","ENSCHEDE","Overijssel","0153","ENSCHEDE","41804","Stichting Het Stedelijk Lyceum Enschede","Tiemeister 20","7541WG","ENSCHEDE","Overijssel","0153","ENSCHEDE"
"7","VO","00AH","18","Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo","J.J. van Deinselaan 32 ","7541PE","ENSCHEDE","Overijssel","0153","ENSCHEDE",47,48,51,35,38,33,33.847744129553,33.5909055622711,32.5544714255633,31.6789751815185,31.4394783941905,31.2819705023116,30.3750662356406,29.3566439962201,28.8618839788577,28.2791535815778,27.7618722257149,27.8435623292941,28.2340918699302,28.2608053331554,28.5906029075136,28.9181468537444,29.1420513738904,29.3691983719086,29.4985662949635,29.5673307787293,47,48,51,35,38,33,33.847744129553,33.5909055622711,32.5544714255633,31.6789751815185,31.4394783941905,31.2819705023116,30.3750662356406,29.3566439962201,28.8618839788577,28.2791535815778,27.7618722257149,27.8435623292941,28.2340918699302,28.2608053331554,28.5906029075136,28.9181468537444,29.1420513738904,29.3691983719086,29.4985662949635,29.5673307787293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo","Lyceumlaan 30","7522GK","ENSCHEDE","Overijssel","0153","ENSCHEDE","41804","Stichting Het Stedelijk Lyceum Enschede","Tiemeister 20","7541WG","ENSCHEDE","Overijssel","0153","ENSCHEDE"
"8","VO","00AQ","00","Zwin College Scholengemeenschap voor Vmbo Havo Atheneum Gymnasium","Nieuwstraat 50 ","4501BE","OOSTBURG","Zeeland","1714","SLUIS",923,871,792,764,752,722,742.239906164249,776.206044953052,776.901742191562,778.393543851437,785.810447439647,783.484479715913,772.729645737611,759.598920642057,736.989918008036,727.594738282158,708.757027137449,706.112692172483,714.167158162805,736.519154344822,765.993881030529,774.838993193246,781.017194162923,774.417409059923,782.821920318436,788.971138195685,341,326,312,293,298,307,300.789314973093,321.815745529489,327.677418450312,302.06823964309,304.908874531475,315.367368927741,307.515666157007,294.750949541173,275.415811510417,275.751168006066,276.640920125952,284.37610942149,297.624403042332,308.043154749418,314.954446556364,311.030857754873,310.075274495869,309.394409230503,315.452193718488,321.706685543537,248,236,213,212,207,175,183.686862513161,190.225036255137,183.86976887887,197.862026682106,199.119001072906,186.29214254777,186.027631400776,187.497100846424,185.464830232979,179.237089313445,169.016253247878,167.311611639609,167.638100143347,172.667005695246,184.514377259895,187.977183365034,189.703436711283,187.676347172083,188.793189945611,188.293595693114,196,181,156,150,152,148,156.288099412525,162.046972547466,160.931515361387,167.938794403731,173.284635298915,171.133950207559,167.717617035261,168.870730524578,168.328216032636,165.786537443087,158.564378221346,152.458717151531,151.477280656222,154.998935350462,162.928909956031,168.92558687952,171.178379361223,168.815644369833,169.560940371263,170.051416902303,138,128,111,109,95,92,101.47562926547,102.118290620959,104.423039500993,110.524483122511,108.49793653635,110.691018032844,111.468731144567,108.480139729882,107.781060232003,106.819943519559,104.535475542274,101.966253959853,97.4273743209035,100.810058549696,103.596147258241,106.90536519382,110.060103594548,108.531008287504,109.015596283074,108.919440056732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zwin College Scholengemeenschap voor Vmbo Havo Atheneum Gymnasium","Nieuwstraat 50","4501BE","OOSTBURG","Zeeland","1714","SLUIS","42770","Stichting Voortgezet Onderwijs Zeeuws-Vlaanderen","Oude Vaart 1","4537CD","TERNEUZEN","Zeeland","0715","TERNEUZEN"
"9","VO","00BD","00","Coenecoop College voor Atheneum Havo Mavo Voorbereidend Beroeps Onderwijs","Oude Dreef 6 ","2741ST","WADDINXVEEN","Zuid-Holland","0627","WADDINXVEEN",974,953,955,904,878,866,895.062125681223,928.960861981237,936.714320327587,945.890811371871,973.492440193142,983.587330082071,995.623458852066,1009.10097548854,1027.77613957212,1044.75828637816,1069.4963436903,1105.11538456515,1132.90072103508,1166.04597707558,1191.05823228484,1219.23676980615,1252.12514005868,1287.37745067453,1317.86951085248,1350.84684441869,360,330,328,331,327,313,312.955315979173,330.847312873277,335.050208978929,328.441511252196,342.491702118285,351.104041280479,354.483016613067,355.935310821599,364.906700874604,375.054115645117,389.83574022756,410.195332676664,414.536751802128,420.416692410722,432.265001882172,443.927323452197,454.316825133967,465.421435531168,473.694528911268,483.86545569849,243,265,262,255,268,275,278.568260550835,280.290596653818,281.268206225024,292.774951322606,296.402966756756,290.892548291778,297.279253423533,304.282495217018,305.924346683635,307.307996014808,315.187784346843,322.968032666822,335.172483618231,348.914447842694,351.527407291138,359.955393812293,371.749862846549,383.262255728432,392.999310034741,402.547767054658,221,222,224,192,155,148,170.81862269153,174.297144412808,174.929926717328,175.783743232424,184.442921936352,187.716859933085,187.223328608744,191.761393319426,197.019560801363,199.001489550639,199.495769161286,204.60794954611,210.376312445806,217.988774509165,224.598060178855,227.445238341366,233.822043476873,241.158499445416,247.948223665709,255.366890283568,150,136,141,126,128,130,132.719926459686,143.525808041334,145.465978406307,148.890605564645,150.154849381749,153.87388057673,156.637860206722,157.121776130499,159.925531212516,163.394685167593,164.977049954612,167.344069675554,172.815173168912,178.726062312995,182.667762932676,187.908814200294,192.236408601292,197.535259969519,203.227448240762,209.066731381974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coenecoop College voor Atheneum Havo Mavo Voorbereidend Beroeps Onderwijs","Oude Dreef 6","2741ST","WADDINXVEEN","Zuid-Holland","0627","WADDINXVEEN","41537","Stichting Scala Coll.&Coenecoop College","Kees Mustersstraat 6","2406LK","ALPHEN AAN DEN RIJN","Zuid-Holland","0484","ALPHEN AAN DEN RIJN"
"10","VO","00BD","02","Coenecoop College voor Atheneum Havo Mavo Voorbereidend Beroeps Onderwijs","Torenpad 102 ","2771EV","BOSKOOP","Zuid-Holland","0484","ALPHEN AAN DEN RIJN",102,78,87,132,151,191,193.581187587206,200.959157970329,202.94639686011,204.620575227004,208.592399565332,213.732829712788,218.106475221958,219.650183216004,223.563944222864,228.607384216115,238.386064778002,247.218582427903,253.863066685558,258.325777917025,263.374258590892,271.082956665318,277.523395561161,285.072934538768,290.215740808646,296.318898174076,68,48,66,109,124,136,136.481992574868,145.005006123704,145.443159221111,143.339948392561,149.719450508748,153.156599442979,154.514896653563,155.271401154394,159.420130767317,163.652249700206,170.794879736779,179.148597344814,180.716491720803,183.719219740973,188.804307756508,193.897759802156,198.309786545121,203.122035873476,206.805121838214,211.13218124761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,17,13,14,14,34,35.2759995918968,34.6549425291228,35.6915549827202,38.0994059953641,36.7036765924063,37.857614866579,39.7966503575651,40.3712166318067,40.1740951546628,40.7040158615981,42.3529490639123,42.6430665604647,45.8118775819497,46.648638966554,46.7306626037209,48.328282245441,49.6116354439867,51.3506844686942,52.259635192917,53.3977733527632,13,13,8,9,13,21,21.8231954204408,21.2992093175028,21.8116826562789,23.1812208390796,22.169272464178,22.7186154032301,23.7949282108309,24.0075654298031,23.9697183008843,24.251118654311,25.238235977311,25.4269185226245,27.3346973828057,27.9579192094982,27.8392882306638,28.8569146177206,29.6019735720527,30.6002141965977,31.150983777514,31.7889435737026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coenecoop College voor Atheneum Havo Mavo Voorbereidend Beroeps Onderwijs","Oude Dreef 6","2741ST","WADDINXVEEN","Zuid-Holland","0627","WADDINXVEEN","41537","Stichting Scala Coll.&Coenecoop College","Kees Mustersstraat 6","2406LK","ALPHEN AAN DEN RIJN","Zuid-Holland","0484","ALPHEN AAN DEN RIJN"
